1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92
-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;560;579;520;329;379;469;433;373;378;351;274;265;274;262;204;240;310;243;177;177;217;186;211;210;109;182;151;140;80;133;100;126;105;166;155;139;116;124;152;176;148;150;120;101;142;159;97;104;114;102;82;86;113;95;116;109;106;67;97;65;102;186;100;89;82;89;72;91;93;104;81;89;103;59;55;69;84;74;81;84;84;86
-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;15;85;121;95;21;209;38;86;38;44;72;61;62;96;59;37;18;84;46;49;108;75;41;80;83;49;25;18;19;28;73;102;83;144;79;95;98;116;146;121;136;114;97;97;71;77;73;84;67;62;52;52;47;84;66;90;75;53;54;51;41;43;74;55;71;56;39;52;65;80;72;66;70;70;50;68;68;85;54;28;17;11
-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;0;0;0;0;0;0;0;0;0;0;5;1;0;6;4;0;0;0;25;0;35;38;6;26;19;19;47;58;30;35;37;71;190;218;328;326;341;274;219;204;225;153;195;131;118;134;420;304;106;109;103;104;86;68;75;52;63;61;59;65;72;73;66;44;28;38;34;23;41;44;36;43;38;30;32;47;58;43;53;40;39;40
-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;0;0;0;0;0;0;0;0;0;0;0;1;1;4;0;4;1;0;0;1;2;3;3;7;4;5;13;15;16;9;7;14;39;28;25;20;31;18;11;22;31;19;24;16;17;8;36;34;17;15;27;120;52;40;48;33;9;12;23;27;26;19;15;10;10;6;7;6;94;26;12;8;14;12;8;9;17;6;6;10;12;15
-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;30;139;179;46;135;57;211;618;25;190;226;300;379;494;485;508;244;248;242;328;475;409;428;288;388;433;413;362;220;352;407;437;483;521;566;627;568;502;433;361;435;411;369;322;233;210;320;230;238;257;195;134;199;204;199;200;180;127;155;137;149;145;140;127;127;100;137;103;64;63;53;42;49;40;40;49;49;60;41;56;61;58
-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;212;205;206;175;218;16;119;215;88;129;33;182;221;184;67;88;84;175;106;207;71;141;174;97;111;124;116;129;113;86;119;106;97;129;132;113;104;64;32;105;81;73;50;71;49;71;54;111;61;47;33;10;33;43;52;37;43;16;24;38;27;37;22;10;23;31;18;32;25;33;29;30;11;24;24;19;22;14;17;9;24;12
-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;0;0;1;1;6;10;34;7;7;11;11;19;8;20;20;18;29;24;22;35;54;0;0;21;35;38;46;61;52;51;93;90;129;186;163;266;232;207;222;149;151;137;155;154;143;127;125;114;135;113;112;93;104;79;68;72;58;57;60;71;70;59;83;86;85;58;61;56;92;75;96;90;59;77;50;62;64;58;40;63;61;53
-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;53;10;53;252;182;20;5;1;212;146;104;67;68;8;9;22;6;90;0;120;144;96;55;52;66;75;11;5;8;53;63;46;56;90;233;177;150;126;30;143;126;95;81;71;113;99;59;35;32;11;32;32;80;78;49;48;61;40;79;59;57;17;47;64;62;32;46;42;91;59;57;29;18;34;22;29;14;16;8;15;8;34
-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;4;0;83;10;19;178;155;30;63;163;13;14;7;0;6;15;0;53;19;56;8;8;0;6;34;2;158;146;69;46;24;0;1966;173;297;183;103;146;114;65;203;136;0;0;0;0;140;26;18;102;71;40;139;94;92;26;109;55;44;58;22;146;119;92;68;28;44;96;155;107;90;77;70;21;23;106;75;42;25;19;3;30
-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;0;0;4;2;3;3;9;8;9;7;10;15;16;7;12;0;23;18;17;34;35;46;37;34;43;60;68;52;68;66;101;74;81;117;129;136;125;92;92;95;108;122;74;90;86;117;0;0;0;31;26;20;94;81;92;73;78;39;65;106;73;75;49;48;68;72;44;58;53;39;38;56;54;46;67;37;46;52;59;43;36;49
-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;0;0;0;0;0;0;1;0;1;4;6;1;6;1;2;1;1;5;3;0;2;4;2;3;14;42;97;85;68;31;20;17;39;45;21;34;31;8;8;13;44;41;33;22;35;29;12;70;13;15;25;12;23;28;19;34;27;14;15;23;18;19;12;16;16;8;5;6;10;26;3;32;8;9;13;30;19;17;12;13;21;21
-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;57;10;136;262;201;198;160;31;275;309;117;81;75;8;15;37;6;143;19;176;152;104;55;58;100;77;169;151;77;99;87;46;2022;263;530;360;253;272;144;208;329;231;81;71;113;99;199;61;50;113;103;72;219;172;141;74;170;95;123;117;79;163;166;156;130;60;90;138;246;166;147;106;88;55;45;135;89;58;33;34;11;64
