1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92
272;177;197;279;215;193;364;565;590;582;570;600;536;343;379;479;443;376;394;354;275;272;280;271;204;245;318;248;178;180;217;189;213;212;111;184;151;141;84;134;100;127;106;167;157;141;117;125;152;181;148;151;121;105;143;160;100;105;119;103;83;87;113;95;120;109;107;70;97;66;103;187;100;90;82;89;72;91;94;104;83;89;104;59;55;71;84;74;81;84;84;86
15;20;33;69;38;19;38;60;53;87;15;87;123;97;21;214;44;93;42;51;72;63;66;106;65;40;18;87;51;50;108;77;41;82;83;50;25;19;19;28;74;103;83;145;79;102;101;117;149;125;138;116;99;100;72;78;73;87;68;65;52;54;47;84;67;91;75;54;54;52;41;43;74;57;71;56;39;52;65;80;72;67;70;71;50;68;68;87;54;28;18;11
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;6;5;0;0;0;26;68;35;41;18;29;24;19;50;60;34;40;40;75;195;229;342;338;349;278;226;207;238;157;198;137;124;140;439;326;111;112;104;105;90;72;77;52;68;61;61;66;73;74;68;44;29;39;34;24;42;44;36;43;38;31;34;48;60;44;53;40;39;42
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;0;4;1;0;0;1;2;3;4;7;4;5;13;15;17;10;7;15;39;30;26;21;32;21;14;22;34;20;26;16;19;9;39;34;19;15;27;125;54;41;49;33;11;13;23;27;26;20;16;10;12;7;8;6;95;27;13;10;15;12;8;9;18;7;6;11;13;15
42;18;6;24;18;41;97;44;91;67;33;145;198;65;135;67;217;631;29;196;229;305;386;506;496;523;252;253;246;333;475;414;432;298;397;439;418;365;241;358;409;443;497;532;575;636;581;515;440;370;451;417;373;326;236;210;321;234;241;259;196;136;200;206;202;207;183;127;157;137;149;145;141;127;128;100;137;106;66;63;54;43;50;41;42;50;49;60;44;57;63;58
44;30;2;32;78;28;50;78;69;89;212;207;215;180;218;23;124;216;92;134;34;186;224;188;71;92;84;176;108;211;71;142;174;98;111;126;122;130;114;86;120;107;98;131;132;116;105;64;32;105;81;74;50;72;50;72;54;113;61;47;35;11;33;43;52;38;43;17;24;38;27;38;22;10;23;31;20;32;25;33;29;30;11;24;24;19;22;14;18;9;25;12
0;0;0;0;0;0;0;0;0;0;0;0;1;1;6;10;10;9;8;12;11;19;10;21;20;18;29;25;22;38;54;0;0;21;35;38;46;62;52;52;93;90;130;189;166;267;240;211;227;152;155;141;157;160;145;131;127;114;138;115;115;96;104;80;70;73;58;57;61;71;71;60;83;86;85;59;63;56;92;75;96;90;59;77;51;62;65;58;40;64;62;53
0;0;0;0;0;0;58;39;114;59;59;10;55;262;182;22;5;1;215;148;104;71;73;8;9;22;6;93;0;120;144;99;56;53;67;76;11;6;8;53;63;49;56;90;234;178;155;127;30;143;129;97;81;74;113;100;60;35;32;11;32;33;81;78;49;48;61;40;79;59;57;17;49;64;62;32;46;44;93;59;57;29;18;34;22;30;15;16;8;15;8;34
0;0;0;0;0;0;26;39;99;98;4;0;87;13;19;186;158;33;73;164;13;16;7;0;6;15;2;58;19;57;8;8;0;7;34;2;160;149;74;48;24;0;199;174;303;186;107;150;114;65;205;137;0;0;0;0;141;26;18;104;72;40;139;94;92;26;109;55;44;58;22;146;120;92;69;28;44;99;157;110;93;77;71;22;23;106;76;42;25;19;3;30
0;0;0;0;0;0;0;0;2;0;0;0;4;2;3;3;10;8;10;7;11;15;16;8;12;0;25;19;17;40;35;51;38;35;43;61;72;52;71;69;102;79;81;119;138;138;132;94;93;100;116;126;76;95;87;120;0;0;0;32;28;22;94;82;92;74;79;39;66;108;74;78;52;52;69;72;45;58;53;39;38;56;54;46;69;37;46;54;60;43;36;49
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;4;6;1;6;1;2;1;3;5;3;39;2;4;2;4;15;44;100;97;70;31;21;17;41;45;21;35;32;8;8;14;45;41;33;22;35;29;12;70;13;15;25;12;23;28;19;34;27;16;15;23;18;20;12;16;16;8;5;7;10;26;3;32;8;9;13;30;19;17;12;13;21;21
0;0;0;0;0;0;84;78;213;157;63;10;142;275;201;208;163;34;288;312;117;87;80;8;15;37;8;151;19;177;152;107;56;60;101;78;171;155;82;101;87;49;255;264;537;364;262;277;144;208;334;234;81;74;113;100;201;61;50;115;104;73;220;172;141;74;170;95;123;117;79;163;169;156;131;60;90;143;250;169;150;106;89;56;45;136;91;58;33;34;11;64
