1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92
8;8;7;28;14;8;11;46;37;43;24;31;19;15;17;17;13;11;16;6;9;7;21;10;0;6;13;7;1;3;1;4;2;2;2;2;0;1;5;1;1;1;1;1;2;2;1;1;0;5;1;1;1;4;1;2;3;1;5;1;1;1;0;0;4;0;1;3;0;1;1;1;0;1;0;0;0;0;1;0;2;1;1;0;0;2;0;1;0;0;0;0
1;0;5;1;3;3;0;4;10;3;0;7;13;3;5;11;7;7;17;8;1;5;10;10;7;3;1;3;5;3;3;3;2;2;0;1;0;1;6;0;0;2;2;3;6;8;4;3;17;5;3;2;3;5;4;1;1;3;1;6;1;3;0;0;1;1;0;1;0;2;0;0;0;2;0;0;0;0;0;0;0;1;0;2;0;0;0;4;0;0;1;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;0;1;4;13;10;11;1;4;3;4;6;6;4;4;14;14;12;8;4;9;8;16;4;3;7;11;6;44;24;5;3;1;2;5;6;2;0;6;1;4;2;1;1;3;0;1;1;1;1;1;0;1;0;0;1;3;1;6;1;7;3;2;2
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;3;3;3;4;4;1;1;3;5;7;1;4;5;2;5;6;3;3;9;3;4;3;2;0;0;6;4;1;2;0;2;2;1;0;0;1;1;0;5;1;1;0;1;1;1;2;1;0;0;0;1;1;1;2;1;0
4;5;2;1;2;1;2;2;4;9;3;6;19;19;9;20;28;13;4;6;3;5;7;12;11;15;8;6;16;5;4;5;4;1;9;6;5;3;21;6;6;6;6;11;9;9;13;13;7;9;16;6;4;4;3;0;1;4;3;2;1;2;1;2;3;7;3;0;2;0;0;0;1;0;2;0;0;3;3;0;1;1;1;1;2;1;0;0;4;1;2;0
1;3;2;2;3;4;2;7;6;3;2;2;9;5;2;14;7;2;6;5;1;5;4;6;6;4;0;1;2;4;0;2;1;1;0;2;7;1;1;0;0;1;1;2;0;4;1;0;0;0;0;1;0;1;1;1;0;2;0;1;2;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;1;0;1;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;2;5;0;5;2;1;0;2;1;5;0;6;3;0;0;0;1;0;2;1;1;11;11;3;3;8;8;5;14;13;14;7;6;10;4;8;3;10;2;0;6;4;8;5;3;2;2;1;0;2;2;0;6;2;0;0;2;1;1;0;0;1;0;0;2;0;2;0;3;0;0;1;2;0
0;0;0;0;0;0;11;0;10;6;6;0;2;10;8;2;0;0;13;2;1;4;6;0;0;0;1;3;0;0;1;4;2;1;1;7;0;1;0;0;0;4;4;0;1;1;5;1;0;0;3;2;0;3;0;4;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;1;1;0;0;0;0;0
0;0;0;0;0;0;0;0;9;2;0;0;4;3;3;9;3;3;10;2;0;2;0;0;0;0;2;5;0;1;0;0;0;1;0;0;3;3;5;2;2;0;0;1;6;4;4;4;0;0;2;1;0;0;0;0;1;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;3;2;3;3;0;1;1;0;0;1;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;2;1;0;9;1;5;3;2;0;1;4;1;6;5;5;7;7;8;9;4;7;2;2;5;8;4;2;6;1;3;0;0;0;1;4;2;1;2;0;3;1;0;4;2;1;3;3;4;1;0;0;0;0;0;0;0;0;0;2;0;0;2;1;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;5;7;12;7;0;0;0;0;9;0;12;2;1;43;2;1;10;0;2;0;2;0;1;0;0;0;0;1;0;0;0;1;2;0;0;0;2;0;0;0;0;0;1;3;1;2;2;2;2;0;1;0;0;0;0;0;0
0;0;0;0;0;0;11;0;19;8;6;0;6;13;11;11;3;3;23;4;1;6;6;0;0;0;3;8;0;1;1;4;2;2;1;7;3;4;5;2;2;4;4;1;7;5;9;5;0;0;5;3;0;3;0;4;2;0;0;2;1;2;1;0;0;0;1;0;0;0;0;0;3;0;1;0;0;5;4;3;3;0;1;1;0;1;2;0;0;0;0;0
